epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,328.037,1.48238,2.11776,0.03474,0.04401,0.68779,0.58651,0.63557,0.4053,1.21845,1.70377,0.0417,0.03331,0.00999479,0.0033316,0.00999479,0.0033316,0.00999479,0.0033316,0.00999479,0.0033316
2,569.91,1.31471,1.42312,0.03387,0.03376,0.72685,0.61165,0.67537,0.43644,1.19678,1.47353,0.04211,0.03509,0.0197968,0.00659895,0.0197968,0.00659895,0.0197968,0.00659895,0.0197968,0.00659895
3,781.726,1.29521,1.37625,0.03412,0.03436,0.7234,0.58025,0.65245,0.40392,1.24728,1.75635,0.04257,0.04764,0.0294009,0.0098003,0.0294009,0.0098003,0.0294009,0.0098003,0.0294009,0.0098003
4,982.786,1.30238,1.39503,0.03425,0.03779,0.7706,0.6106,0.71254,0.47216,1.1859,1.335,0.043,0.03893,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1184.09,1.28317,1.34124,0.03342,0.03476,0.75453,0.64507,0.70676,0.4661,1.17379,1.46034,0.04174,0.03677,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1384.73,1.26822,1.30647,0.03417,0.03567,0.76452,0.64801,0.72609,0.48224,1.15748,1.36295,0.04294,0.0341,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1585.25,1.25639,1.2792,0.03395,0.03573,0.78622,0.64886,0.74367,0.4919,1.14728,1.21105,0.04343,0.03155,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1787.63,1.24283,1.24343,0.03355,0.03353,0.79792,0.6683,0.75782,0.51696,1.11678,1.20325,0.04294,0.0323,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1989.73,1.23324,1.2245,0.03362,0.03395,0.79303,0.67597,0.76169,0.51454,1.12093,1.31529,0.04266,0.03554,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2192.45,1.23287,1.23253,0.03445,0.03299,0.80603,0.6811,0.77338,0.53189,1.10454,1.15492,0.04296,0.03229,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2394.97,1.22027,1.20269,0.03372,0.0318,0.81066,0.68266,0.77494,0.53728,1.08754,1.11785,0.04249,0.03089,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2596.78,1.22202,1.20156,0.03352,0.03402,0.81285,0.68706,0.77956,0.5361,1.09675,1.10301,0.04207,0.03185,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2798.38,1.20685,1.1776,0.034,0.03061,0.81713,0.69416,0.78486,0.54875,1.07769,1.10756,0.0423,0.03006,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2999.85,1.21499,1.17956,0.03374,0.03181,0.81792,0.69014,0.78536,0.54742,1.06752,1.09357,0.04245,0.0278,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3201.28,1.20899,1.17581,0.03388,0.0325,0.82359,0.69471,0.7903,0.55286,1.06476,1.13167,0.0422,0.02922,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3403.33,1.20198,1.17294,0.03413,0.03028,0.82651,0.69627,0.79058,0.55507,1.06494,1.07256,0.04243,0.03069,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3604.41,1.19973,1.16744,0.03431,0.03187,0.82052,0.6995,0.79241,0.55748,1.05996,1.08486,0.04232,0.03067,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3806.52,1.19996,1.15,0.03383,0.03174,0.83392,0.70063,0.79803,0.56239,1.05115,1.09416,0.04227,0.02788,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4007.9,1.19482,1.14633,0.0339,0.03151,0.83121,0.70414,0.79904,0.56411,1.04877,1.07108,0.04221,0.02931,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4209.36,1.18859,1.14431,0.03372,0.0308,0.8322,0.70621,0.80036,0.56574,1.04737,1.05177,0.0422,0.02885,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4411.07,1.19121,1.13586,0.03397,0.03161,0.83272,0.70738,0.802,0.56799,1.04958,1.05197,0.04239,0.02831,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4612.88,1.18707,1.14091,0.03422,0.0315,0.83065,0.70958,0.80297,0.56811,1.04534,1.05027,0.04235,0.02789,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4815.31,1.1889,1.13062,0.03342,0.03123,0.83641,0.71064,0.8042,0.56992,1.04492,1.04454,0.04226,0.028,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5017.28,1.18476,1.12602,0.03388,0.03078,0.83563,0.71185,0.80538,0.57261,1.0411,1.02595,0.0423,0.02796,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
