epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,159.935,1.43835,1.80974,0.01226,0.05675,0.79534,0.70637,0.78282,0.51759,1.18511,1.46309,0.0163,0.05517,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971
2,279.077,1.27032,1.12715,0.01126,0.05305,0.79632,0.73877,0.75185,0.49739,1.20747,1.75304,0.01629,0.0591,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708
3,382.419,1.24885,1.10054,0.01109,0.05475,0.81825,0.70008,0.77695,0.48381,1.27372,1.5202,0.01462,0.07793,0.0293954,0.00979845,0.0293954,0.00979845,0.0293954,0.00979845,0.0293954,0.00979845
4,480.192,1.25918,1.12937,0.01108,0.05928,0.77564,0.72083,0.72756,0.46753,1.22328,1.96567,0.01667,0.06292,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,578.176,1.23994,1.06906,0.01126,0.05628,0.83465,0.7167,0.79063,0.55851,1.16064,1.32801,0.01607,0.07289,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,676.171,1.21023,1.02334,0.01153,0.05345,0.82223,0.7341,0.78089,0.52966,1.18196,1.41911,0.01655,0.05911,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,774.508,1.20603,1.0131,0.01118,0.05361,0.86132,0.73087,0.82722,0.56608,1.15118,1.12228,0.0156,0.05611,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,873.154,1.20115,1.016,0.01132,0.05089,0.86541,0.74372,0.83234,0.5682,1.1366,1.27495,0.01642,0.05418,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,971.687,1.19541,1.00519,0.01109,0.05121,0.84569,0.73801,0.80017,0.52956,1.14898,1.33498,0.01576,0.0535,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1070.67,1.18823,0.99788,0.0113,0.05034,0.85074,0.75104,0.83459,0.56232,1.14817,1.24583,0.01562,0.05637,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1168.98,1.17259,0.95273,0.01123,0.04956,0.87365,0.75399,0.84159,0.55106,1.13648,1.1578,0.01637,0.05473,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1267.31,1.16759,0.95119,0.01106,0.04758,0.86437,0.75771,0.84224,0.58662,1.14085,1.1325,0.0161,0.05383,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1366.16,1.17156,0.96196,0.01107,0.05019,0.88048,0.76112,0.84574,0.56394,1.12141,1.17195,0.01571,0.05424,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1465.07,1.16336,0.94814,0.01108,0.04825,0.88732,0.76337,0.8547,0.597,1.12992,1.07762,0.01665,0.05529,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1563.37,1.16602,0.95335,0.0113,0.04857,0.8924,0.76746,0.85728,0.57677,1.11415,1.05677,0.01633,0.05434,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1662.21,1.16125,0.94902,0.01116,0.04866,0.88869,0.76777,0.85877,0.58008,1.10289,1.05146,0.0163,0.0504,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1761.46,1.1518,0.92463,0.01105,0.04677,0.89379,0.77199,0.86048,0.58768,1.09245,1.0398,0.01597,0.05556,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1860.23,1.15161,0.9296,0.0115,0.04663,0.89932,0.77687,0.86273,0.5843,1.09717,1.12526,0.01604,0.05225,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1958.82,1.13826,0.91693,0.0112,0.04547,0.90124,0.76322,0.86037,0.58175,1.09549,1.06865,0.01559,0.05217,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2057.47,1.15204,0.91767,0.01111,0.04862,0.89633,0.76866,0.86297,0.59343,1.09041,1.06226,0.0161,0.05284,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2155.9,1.14489,0.91888,0.01107,0.04598,0.89685,0.76893,0.8622,0.59519,1.09452,1.08953,0.01604,0.05533,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2254.45,1.14479,0.90543,0.01134,0.04557,0.89065,0.77831,0.86219,0.58803,1.09827,1.05767,0.01685,0.05468,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2352.98,1.14639,0.90108,0.01139,0.04742,0.90803,0.77791,0.87091,0.60029,1.09402,0.9948,0.01606,0.05621,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2451.16,1.12694,0.89076,0.01114,0.04652,0.89153,0.77787,0.86001,0.58586,1.10224,1.03641,0.01575,0.05711,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2549.55,1.13112,0.88051,0.01093,0.04505,0.90183,0.78426,0.86903,0.598,1.08937,1.01169,0.01559,0.04871,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2647.87,1.14336,0.90113,0.01124,0.048,0.90309,0.78375,0.86994,0.60142,1.09158,1.01271,0.01594,0.05311,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2746.17,1.13557,0.88409,0.01093,0.04555,0.9001,0.785,0.86545,0.60019,1.07655,1.01225,0.01581,0.05165,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2844.63,1.14196,0.89075,0.01114,0.04656,0.90945,0.78386,0.8698,0.59602,1.08644,1.00053,0.01578,0.05308,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2942.91,1.12386,0.87728,0.01119,0.04366,0.90666,0.78577,0.87157,0.60321,1.09049,1.0324,0.01654,0.05031,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3041.36,1.12654,0.88145,0.01145,0.04568,0.90625,0.7849,0.8716,0.59578,1.0916,1.04226,0.01698,0.05191,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3139.75,1.12812,0.88849,0.01167,0.04515,0.91071,0.78351,0.87431,0.60661,1.08304,0.98493,0.01689,0.04813,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3238.27,1.12763,0.88504,0.01139,0.0442,0.90981,0.78821,0.87467,0.60904,1.06126,1.03465,0.01624,0.04773,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3336.68,1.11119,0.85064,0.0114,0.04529,0.90689,0.78679,0.87513,0.60131,1.06828,1.00219,0.01662,0.04816,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3435.2,1.12062,0.88478,0.01124,0.04344,0.91195,0.78439,0.87425,0.60781,1.06592,1.00968,0.01638,0.04631,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3533.59,1.10883,0.85842,0.01143,0.04295,0.91389,0.78766,0.87656,0.60672,1.07266,1.00156,0.01603,0.04843,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
