epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1721.47,1.38616,2.34208,0.0302,0.02338,0.54876,0.45382,0.44428,0.32711,1.20122,2.30364,0.02584,0.01892,0.00999867,0.00333289,0.00999867,0.00333289,0.00999867,0.00333289,0.00999867,0.00333289
2,3118.55,1.23616,1.58408,0.02997,0.00814,0.58433,0.48231,0.48094,0.36195,1.13502,2.29731,0.02585,0.01665,0.0198007,0.00660023,0.0198007,0.00660023,0.0198007,0.00660023,0.0198007,0.00660023
3,4382.09,1.22223,1.55213,0.02988,0.00908,0.57555,0.49714,0.48926,0.36825,1.11451,2.27883,0.02596,0.01645,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156
4,5604.58,1.22279,1.53776,0.02966,0.00898,0.60452,0.49992,0.50057,0.37959,1.09794,2.32469,0.02589,0.01647,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6827.01,1.19826,1.47132,0.02951,0.00858,0.62202,0.50335,0.51098,0.38808,1.08814,2.1817,0.02574,0.01676,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,8050.4,1.18248,1.43049,0.02951,0.0082,0.63056,0.50842,0.51687,0.39351,1.07914,2.1252,0.02569,0.01637,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,9270.85,1.17434,1.40771,0.02954,0.0078,0.63382,0.51379,0.52153,0.39797,1.07278,2.10856,0.02567,0.01605,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10488.7,1.1635,1.3829,0.02942,0.00777,0.63457,0.51603,0.52394,0.40036,1.06755,2.10831,0.0256,0.01646,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,11706.6,1.16213,1.3836,0.02977,0.00792,0.64105,0.51541,0.5263,0.40253,1.06439,2.0958,0.02567,0.01622,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,12923.2,1.1579,1.36668,0.02956,0.00776,0.63963,0.51806,0.52789,0.40409,1.06016,2.09033,0.02567,0.01623,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,14140.5,1.1528,1.35573,0.02955,0.00777,0.64213,0.51979,0.52995,0.406,1.05738,2.08281,0.02564,0.01622,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,15357.6,1.15067,1.35089,0.02945,0.00765,0.64307,0.52327,0.53199,0.40779,1.05483,2.07947,0.02567,0.01623,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,16573.5,1.14941,1.34738,0.02943,0.00773,0.64443,0.52432,0.53356,0.40931,1.05178,2.06402,0.02568,0.01617,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,17790.7,1.14591,1.33858,0.02944,0.00789,0.64634,0.52656,0.53512,0.41037,1.04919,2.04868,0.02566,0.01642,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,19005.8,1.14189,1.32758,0.02931,0.00759,0.64922,0.52615,0.53729,0.41219,1.0458,2.03186,0.02561,0.01655,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
