epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,174.775,1.33926,1.40767,0.01176,0.05117,0.82528,0.71988,0.80915,0.53465,1.14108,1.33851,0.01655,0.05455,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971
2,308.788,1.18991,1.02584,0.01125,0.05056,0.78722,0.71254,0.76058,0.47784,1.16315,1.52742,0.01606,0.0584,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708
3,428.251,1.20919,1.09387,0.01126,0.05587,0.79062,0.68242,0.7485,0.47636,1.21639,1.84358,0.01597,0.06034,0.0293954,0.00979845,0.0293954,0.00979845,0.0293954,0.00979845,0.0293954,0.00979845
4,542.479,1.22319,1.13188,0.01148,0.06043,0.82575,0.73754,0.77845,0.50658,1.21987,1.45573,0.01644,0.05954,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,656.89,1.21231,1.0734,0.01086,0.05827,0.85408,0.73752,0.82221,0.57844,1.15819,1.23539,0.01576,0.06448,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,771.166,1.1688,0.97623,0.01146,0.05469,0.83612,0.75384,0.79504,0.5108,1.16587,1.57946,0.01614,0.06067,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,885.282,1.16823,0.98369,0.01139,0.05489,0.89079,0.75459,0.8509,0.57845,1.15195,1.11453,0.0157,0.05868,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,999.644,1.16299,0.96781,0.01133,0.05306,0.89643,0.77515,0.86245,0.59118,1.11825,1.16946,0.01588,0.05336,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1113.7,1.14992,0.95153,0.01129,0.05194,0.87556,0.76639,0.84507,0.53702,1.1535,1.21211,0.01725,0.05799,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1228.32,1.14266,0.93972,0.0115,0.04982,0.89185,0.759,0.85576,0.57943,1.15033,1.13701,0.01692,0.05541,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1342.38,1.12025,0.89392,0.01131,0.04914,0.87367,0.76418,0.84845,0.58686,1.10562,1.17524,0.0173,0.06153,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1456.4,1.11601,0.89068,0.0113,0.04867,0.90083,0.77314,0.86843,0.61542,1.09866,1.05284,0.01596,0.06113,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1570.62,1.11296,0.88854,0.01119,0.04884,0.91257,0.78925,0.87453,0.59142,1.08996,1.03621,0.01644,0.05521,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1684.8,1.10001,0.87449,0.01138,0.04688,0.90677,0.78884,0.87587,0.63184,1.09177,1.03338,0.01668,0.05001,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1798.9,1.10322,0.87215,0.01129,0.04729,0.90558,0.78933,0.87244,0.59792,1.06721,1.02259,0.01599,0.05769,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1913.06,1.09863,0.8719,0.01106,0.04718,0.90864,0.78438,0.87593,0.612,1.07032,1.01547,0.01642,0.05471,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2027.23,1.08753,0.8448,0.01149,0.04611,0.91049,0.79603,0.87646,0.60368,1.0598,1.03561,0.01623,0.05558,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2141.2,1.08282,0.84864,0.01162,0.04327,0.91283,0.79349,0.87635,0.60537,1.06642,1.07374,0.0169,0.05306,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2255.36,1.07359,0.83313,0.01139,0.04485,0.90798,0.79873,0.88009,0.61948,1.07132,1.0486,0.01623,0.05292,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2369.41,1.07519,0.82344,0.01095,0.04489,0.92309,0.79581,0.8835,0.61461,1.05845,1.02596,0.01579,0.04914,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2483.6,1.07038,0.82657,0.01107,0.04308,0.91037,0.7992,0.87961,0.61716,1.06506,1.06396,0.01625,0.04989,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2597.8,1.06597,0.81411,0.01123,0.04103,0.92026,0.7998,0.88456,0.62368,1.04483,0.95314,0.01604,0.05031,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2711.93,1.06622,0.81614,0.01135,0.04338,0.91035,0.79651,0.87731,0.60162,1.06174,1.06411,0.01673,0.05002,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2825.87,1.05145,0.79483,0.01116,0.0424,0.91785,0.80277,0.8862,0.62301,1.03396,0.98715,0.01631,0.04855,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2940.18,1.05594,0.7909,0.01108,0.04191,0.92122,0.80186,0.88634,0.62201,1.05547,0.99928,0.01562,0.04871,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3054.22,1.05561,0.80073,0.01144,0.0416,0.91634,0.80442,0.88426,0.62744,1.04633,0.98783,0.01582,0.05073,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3168.35,1.05716,0.78017,0.01085,0.04325,0.92431,0.80521,0.88802,0.62971,1.03745,0.98643,0.01548,0.05014,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3282.29,1.05591,0.78772,0.01084,0.04265,0.92054,0.80538,0.88544,0.61765,1.05163,0.98146,0.0158,0.05137,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3396.31,1.04273,0.78264,0.01114,0.03983,0.92489,0.80742,0.88759,0.62678,1.05399,1.03564,0.01634,0.04883,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3510.42,1.04189,0.78179,0.01111,0.04121,0.92289,0.80903,0.88992,0.63057,1.03692,0.97146,0.01645,0.05085,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3624.55,1.04029,0.77956,0.01137,0.04001,0.91917,0.8103,0.88769,0.62505,1.03158,0.99875,0.01675,0.04987,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3738.59,1.04665,0.78438,0.01119,0.04055,0.92698,0.80965,0.88998,0.62966,1.03208,0.98806,0.01602,0.04963,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3852.55,1.02529,0.75114,0.01067,0.04157,0.92394,0.81028,0.88977,0.63144,1.03899,1.01517,0.01556,0.04997,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3966.52,1.03455,0.77658,0.01077,0.03995,0.92663,0.81098,0.89072,0.62972,1.02116,0.95787,0.01582,0.04812,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4080.57,1.02388,0.75498,0.0114,0.04024,0.92322,0.81408,0.89023,0.62966,1.02664,1.00497,0.01677,0.05014,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4194.68,1.03022,0.75288,0.01147,0.03961,0.92528,0.81223,0.89145,0.6289,1.03338,0.99371,0.01682,0.04853,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4308.83,1.0351,0.7664,0.01092,0.04197,0.92862,0.81032,0.89198,0.63421,1.02189,0.98442,0.01618,0.04929,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4422.83,1.02482,0.75102,0.01122,0.03983,0.9289,0.81424,0.8927,0.63299,1.02713,0.97292,0.01628,0.04873,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4536.9,1.02156,0.74524,0.011,0.04102,0.92897,0.8124,0.89313,0.6395,1.01922,0.95852,0.01611,0.04848,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4651.08,1.03208,0.76064,0.0111,0.04116,0.92937,0.81057,0.89226,0.63356,1.02317,0.96153,0.01622,0.04831,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4765.02,1.01525,0.73148,0.01083,0.03944,0.93128,0.81051,0.89298,0.63594,1.01819,0.96687,0.01611,0.04878,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4879.14,1.01614,0.74855,0.01118,0.03897,0.92926,0.81317,0.89333,0.6348,1.03188,0.98266,0.01642,0.04768,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4993.26,1.02849,0.7577,0.01136,0.03938,0.93069,0.81377,0.89393,0.63843,1.02426,0.96873,0.01633,0.04692,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5107.07,1.00876,0.73415,0.01122,0.03886,0.9282,0.81769,0.89437,0.64048,1.02329,0.97747,0.01644,0.04741,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5221.03,1.00818,0.72834,0.01124,0.03921,0.93017,0.81777,0.89415,0.64184,1.02825,0.97785,0.01646,0.04925,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5335.28,0.99355,0.70635,0.01109,0.03736,0.92845,0.81599,0.89361,0.64225,1.02367,0.98366,0.01633,0.04928,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5449.36,1.00001,0.70955,0.01094,0.03697,0.93143,0.8157,0.8947,0.64534,1.02148,0.97441,0.01635,0.04852,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5563.45,0.99431,0.71277,0.01135,0.03721,0.9302,0.81763,0.89495,0.6427,1.02299,0.98158,0.01653,0.0477,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5677.57,1.0013,0.72324,0.01101,0.03731,0.93215,0.8175,0.89585,0.64305,1.0256,0.97969,0.0164,0.04805,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5791.7,0.99171,0.70551,0.01116,0.03576,0.93131,0.81716,0.89517,0.64186,1.02543,0.98345,0.01631,0.04778,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5905.67,0.99705,0.70906,0.01114,0.03713,0.93186,0.8172,0.89571,0.64372,1.02728,0.98161,0.01646,0.04764,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6019.86,0.97949,0.68873,0.01141,0.03558,0.93292,0.81775,0.89614,0.6472,1.02858,0.98658,0.01664,0.04757,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6133.87,0.98653,0.69804,0.01137,0.03643,0.92997,0.81922,0.89603,0.64622,1.0266,0.9868,0.01659,0.04754,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6247.75,0.9719,0.68803,0.01127,0.03573,0.9311,0.81867,0.89631,0.64692,1.02729,0.9875,0.01657,0.04711,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6361.78,0.97505,0.68268,0.01117,0.03518,0.93085,0.82138,0.89658,0.64727,1.02781,0.98762,0.0166,0.04716,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6475.85,0.97679,0.69091,0.01081,0.03543,0.93166,0.82007,0.89683,0.64715,1.02537,0.98725,0.01648,0.047,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6590.01,0.96466,0.68185,0.01091,0.0347,0.93382,0.81912,0.89666,0.64701,1.02588,0.98629,0.0164,0.04697,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6703.93,0.96554,0.67299,0.01115,0.03407,0.93232,0.81934,0.89665,0.64739,1.02743,0.99199,0.0163,0.04697,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6817.97,0.96053,0.6668,0.01116,0.03393,0.93295,0.81754,0.8966,0.64752,1.02599,0.99315,0.01627,0.0478,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6932.04,0.95465,0.65191,0.011,0.03348,0.9351,0.81595,0.89647,0.6477,1.02626,0.99472,0.01629,0.04789,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7046.2,0.95412,0.66048,0.01087,0.03359,0.93055,0.81956,0.89614,0.64756,1.02727,0.99343,0.01627,0.04783,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7160.29,0.96064,0.66259,0.0109,0.03377,0.93007,0.82039,0.89635,0.64831,1.02643,0.99333,0.01625,0.04811,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7274.45,0.95202,0.66734,0.01082,0.03325,0.93076,0.8202,0.8965,0.64845,1.02644,0.99479,0.01625,0.0479,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7388.31,0.94334,0.65431,0.01091,0.0324,0.93258,0.81992,0.89672,0.64835,1.0263,0.99957,0.01623,0.04793,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7502.41,0.94236,0.65755,0.01072,0.03218,0.93215,0.81945,0.89641,0.64836,1.02663,0.99947,0.01623,0.04815,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7616.68,0.93892,0.64597,0.0111,0.03281,0.93101,0.81981,0.89605,0.64837,1.02747,1.003,0.01625,0.04823,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7730.77,0.93886,0.64624,0.01122,0.03242,0.93133,0.81986,0.89609,0.64852,1.02738,1.00357,0.01625,0.04819,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7844.68,0.925,0.62756,0.01097,0.03141,0.93108,0.82062,0.89614,0.64856,1.02741,1.00758,0.01625,0.04807,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
