epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,235.178,1.29362,1.29959,0.01203,0.04552,0.88232,0.74382,0.85106,0.57283,1.0862,1.12949,0.0168,0.05463,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971
2,428.051,1.12221,0.92551,0.01129,0.04636,0.84866,0.7693,0.81097,0.55462,1.12118,1.39705,0.01598,0.05352,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708
3,605.01,1.1419,1.0001,0.01138,0.05101,0.81443,0.74202,0.76859,0.51698,1.14738,1.80806,0.016,0.05988,0.0293954,0.00979845,0.0293954,0.00979845,0.0293954,0.00979845,0.0293954,0.00979845
4,776.661,1.1557,1.03097,0.01162,0.05556,0.8162,0.74351,0.78103,0.53663,1.17412,1.67849,0.01673,0.06037,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,948.331,1.14929,0.97482,0.01134,0.05492,0.85966,0.75229,0.81537,0.5706,1.115,1.39056,0.01628,0.05666,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1119.75,1.09559,0.89225,0.01134,0.04739,0.90411,0.77761,0.86823,0.57852,1.11601,1.11134,0.01641,0.0558,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1291.36,1.10085,0.89008,0.01158,0.04928,0.90589,0.77299,0.86323,0.58725,1.12231,1.00652,0.01659,0.05827,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1462.86,1.0939,0.88718,0.01141,0.04867,0.90064,0.78793,0.87438,0.60284,1.08525,1.15739,0.01662,0.0536,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1634.12,1.08604,0.85781,0.01161,0.04692,0.91008,0.79287,0.8764,0.60259,1.11031,1.03377,0.01663,0.05418,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1806,1.07844,0.85767,0.01144,0.04543,0.91269,0.78906,0.8749,0.59706,1.07616,1.10601,0.0163,0.05155,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
